case_id,title,description,status,priority,case_type,created_by,assigned_to,created_at,updated_at,resolved_at,assignee_tier,assignee_region,assignee_department,policy_id,sla_target_hours,compliance_framework,regulatory_body,escalation_tier,resolution_time_hours,sla_breached,priority_duration_rank,department_case_seq
101,Gateway timeout on payment processing,Checkout fails intermittently for EU customers with 504 gateway timeout,OPEN,CRITICAL,BUG,1,2,2026-09-01 08:00:00+00:00,2026-09-01 08:00:00+00:00,,L2,EMEA,Application Engineering,POL-001,4.0,SOC2,SOC2,L3_LEAD,358.99,True,4,1
102,Add dark mode to customer portal,User preference for high contrast dark theme in accessibility settings,IN_PROGRESS,MEDIUM,FEATURE_REQUEST,2,3,2026-09-01 09:30:00+00:00,2026-09-02 10:00:00+00:00,,L1,APAC,Application Engineering,POL-006,480.0,GOVERNANCE,GOVERNANCE,PRODUCT_MGR,357.49,False,2,2
103,Export compliance audit report to CSV (duplicate),Financial audit team requires raw export functionality with masked PII,RESOLVED,HIGH,FEATURE_REQUEST,3,4,2026-09-01 11:00:00+00:00,2026-09-04 09:00:00+00:00,2026-09-03 14:00:00+00:00,L3,US,Information Security,POL-005,240.0,GOVERNANCE,GOVERNANCE,PRODUCT_HEAD,51.0,False,3,1
104,Database deadlock during batch settlement,Deadlock detected between transaction coordinator and balance ledger,OPEN,CRITICAL,BUG,1,2,2026-09-02 01:15:00+00:00,2026-09-02 01:15:00+00:00,,L2,EMEA,Application Engineering,POL-001,4.0,SOC2,SOC2,L3_LEAD,341.74,True,3,3
105,Clarification on SLA response window,Customer inquiries about weekend SLA support coverage hours,CLOSED,LOW,INQUIRY,4,1,2026-09-02 04:00:00+00:00,2026-09-02 06:00:00+00:00,2026-09-02 06:00:00+00:00,L3,APAC,Platform Infrastructure,POL-007,48.0,SUPPORT,SUPPORT,L1_SUPPORT,2.0,False,2,1
107,Unauthorized API access attempt detected,WAF flagged 45 suspicious requests probing /api/v1/admin,IN_PROGRESS,CRITICAL,BUG,1,4,2026-09-02 09:00:00+00:00,2026-09-02 09:45:00+00:00,,L3,US,Information Security,POL-001,4.0,SOC2,SOC2,L3_LEAD,333.99,True,2,2
108,Customer billing discrepancy in Q3 invoice,Invoice charges do not match discount contract amendment,OPEN,HIGH,COMPLAINT,2,5,2026-09-02 10:10:00+00:00,2026-09-02 10:10:00+00:00,,ADMIN,GLOBAL,Executive Management,POL-009,24.0,ISO_27001,ISO_27001,LEGAL_COUNSEL,332.82,True,5,1
109,Memory leak in session worker thread,Worker memory steadily climbs past 4GB leading to container restart,IN_PROGRESS,HIGH,BUG,3,2,2026-09-02 11:30:00+00:00,2026-09-02 12:00:00+00:00,,L2,EMEA,Application Engineering,POL-002,24.0,SOC2,SOC2,L2_SENIOR,331.49,True,4,4
111,SSO certificate rotation reminder,SAML identity provider certificate expires in 14 days,RESOLVED,HIGH,INQUIRY,1,4,2026-09-02 14:00:00+00:00,2026-09-02 16:30:00+00:00,2026-09-02 16:30:00+00:00,L3,US,Information Security,,72.0,,,,2.5,False,2,3
113,Update privacy policy link in footer,Legal department updated GDPR notification URL,CLOSED,LOW,FEATURE_REQUEST,2,1,2026-09-02 16:00:00+00:00,2026-09-02 17:00:00+00:00,2026-09-02 17:00:00+00:00,L3,APAC,Platform Infrastructure,,72.0,,,,1.0,False,1,2
114,Mobile responsiveness issue on tablet view,Navigation sidebar overlaps case detail drawer on iPad Safari,IN_PROGRESS,LOW,BUG,4,3,2026-09-02 17:30:00+00:00,2026-09-03 08:00:00+00:00,,L1,APAC,Application Engineering,POL-004,168.0,INTERNAL,INTERNAL,L1_ANALYST,325.49,True,3,5
115,Feature request: webhook notifications,Enable custom HTTP webhook endpoints on case status transition,OPEN,MEDIUM,FEATURE_REQUEST,1,2,2026-09-03 08:45:00+00:00,2026-09-03 08:45:00+00:00,,L2,EMEA,Application Engineering,POL-006,480.0,GOVERNANCE,GOVERNANCE,PRODUCT_MGR,310.24,False,1,6
116,Failed credit card refund,Refund API returned error code 4002 from payment provider,RESOLVED,HIGH,BUG,2,1,2026-09-03 09:15:00+00:00,2026-09-03 11:00:00+00:00,2026-09-03 11:00:00+00:00,L3,APAC,Platform Infrastructure,POL-002,24.0,SOC2,SOC2,L2_SENIOR,1.75,False,1,3
118,SOC 2 annual evidence preparation,Collect audit trail logs and access control records for external auditor,OPEN,CRITICAL,COMPLAINT,1,4,2026-09-03 12:00:00+00:00,2026-09-03 12:00:00+00:00,,L3,US,Information Security,POL-008,8.0,ISO_27001,ISO_27001,CHIEF_COMPLIANCE,306.99,True,1,4
