case_id,title,description,status,priority,case_type,created_by,assigned_to,created_at,updated_at,resolved_at,_ingested_at,_source_name,_run_id
101,Gateway timeout on payment processing,Checkout fails intermittently for EU customers with 504 gateway timeout,OPEN,CRITICAL,BUG,1,2,2026-09-01T08:00:00Z,2026-09-01T08:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
102,Add dark mode to customer portal,User preference for high contrast dark theme in accessibility settings,IN_PROGRESS,MEDIUM,FEATURE_REQUEST,2,3,2026-09-01T09:30:00Z,2026-09-02T10:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
103,Export compliance audit report to CSV,Financial audit team requires raw export functionality with masked PII,RESOLVED,HIGH,FEATURE_REQUEST,3,4,2026-09-01T11:00:00Z,2026-09-03T14:00:00Z,2026-09-03T14:00:00Z,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
103,Export compliance audit report to CSV (duplicate),Financial audit team requires raw export functionality with masked PII,RESOLVED,HIGH,FEATURE_REQUEST,3,4,2026-09-01T11:00:00Z,2026-09-04T09:00:00Z,2026-09-03T14:00:00Z,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
104,Database deadlock during batch settlement,Deadlock detected between transaction coordinator and balance ledger,OPEN,CRITICAL,BUG,1,2,2026-09-02T01:15:00Z,2026-09-02T01:15:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
105,Clarification on SLA response window,Customer inquiries about weekend SLA support coverage hours,CLOSED,LOW,INQUIRY,4,1,2026-09-02T04:00:00Z,2026-09-02T06:00:00Z,2026-09-02T06:00:00Z,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
106,,Client report arrived without title headers or incident summary,OPEN,LOW,INQUIRY,2,1,2026-09-02T07:20:00Z,2026-09-02T07:20:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
107,Unauthorized API access attempt detected,WAF flagged 45 suspicious requests probing /api/v1/admin,IN_PROGRESS,CRITICAL,BUG,1,4,2026-09-02T09:00:00Z,2026-09-02T09:45:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
108,Customer billing discrepancy in Q3 invoice,Invoice charges do not match discount contract amendment,OPEN,HIGH,COMPLAINT,2,5,2026-09-02T10:10:00Z,2026-09-02T10:10:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
109,Memory leak in session worker thread,Worker memory steadily climbs past 4GB leading to container restart,IN_PROGRESS,HIGH,BUG,3,2,2026-09-02T11:30:00Z,2026-09-02T12:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
110,Slow query on user profile endpoint,Query plan shows table scan on user_preferences table,PENDING_APPROVAL,MEDIUM,BUG,4,3,2026-09-02T13:00:00Z,2026-09-02T13:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
111,SSO certificate rotation reminder,SAML identity provider certificate expires in 14 days,RESOLVED,HIGH,INQUIRY,1,4,2026-09-02T14:00:00Z,2026-09-02T16:30:00Z,2026-09-02T16:30:00Z,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
112,Data ingestion pipeline backpressure,Kafka consumer lag exceeded 50000 records on case events,OPEN,HIGH,BUG,3,999,2026-09-02T15:00:00Z,2026-09-02T15:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
113,Update privacy policy link in footer,Legal department updated GDPR notification URL,CLOSED,LOW,FEATURE_REQUEST,2,1,2026-09-02T16:00:00Z,2026-09-02T17:00:00Z,2026-09-02T17:00:00Z,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
114,Mobile responsiveness issue on tablet view,Navigation sidebar overlaps case detail drawer on iPad Safari,IN_PROGRESS,LOW,BUG,4,3,2026-09-02T17:30:00Z,2026-09-03T08:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
115,Feature request: webhook notifications,Enable custom HTTP webhook endpoints on case status transition,OPEN,MEDIUM,FEATURE_REQUEST,1,2,2026-09-03T08:45:00Z,2026-09-03T08:45:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
116,Failed credit card refund,Refund API returned error code 4002 from payment provider,RESOLVED,HIGH,BUG,2,1,2026-09-03T09:15:00Z,2026-09-03T11:00:00Z,2026-09-03T11:00:00Z,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
117,Support ticket routing delay,Auto-assignment engine lagged by 15 minutes during peak hours,OPEN,URGENT,BUG,3,2,2026-09-03T10:00:00Z,2026-09-03T10:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
-1,Corrupted row from legacy system migration,Corrupted header offset and negative primary key,OPEN,LOW,BUG,1,1,2026-09-03T11:00:00Z,2026-09-03T11:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
118,SOC 2 annual evidence preparation,Collect audit trail logs and access control records for external auditor,OPEN,CRITICAL,COMPLAINT,1,4,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,,2026-09-16T06:27:35.375882+00:00,cases_csv,RUN_20260916_062733
